Age,BaCa,MgCa,SrCa,UCa,YCa
1979.54,0.0124566,4.1074,9.3423,0.001532,8.46E-05
1979.57,0.0110862,4.2605,9.2563,0.0015314,7.53E-05
1979.6,0.011227,4.2575,9.2882,0.0015094,8.12E-05
1979.64,0.0108077,4.4966,9.1998,0.0013918,7.17E-05
1979.67,0.0108675,4.4783,9.1997,0.0013768,7.68E-05
1979.7,0.0108628,4.3429,9.2559,0.0013545,7.45E-05
1979.74,0.0111718,4.505,9.2104,0.0012764,7.25E-05
1979.77,0.0105189,4.0403,9.2968,0.0013635,9.06E-05
1979.81,0.0103225,5.0921,9.2543,0.001367,9.04E-05
1979.84,0.0101904,4.0452,9.1857,0.0013326,7.39E-05
1979.87,0.0106674,4.2601,9.1022,0.0012807,7.04E-05
1979.91,0.0105864,4.2725,9.1019,0.001265,7.54E-05
1979.94,0.010471,4.3137,9.0589,0.0013405,0.0001282
1979.97,0.0107987,4.3924,9.1021,0.0013225,0.0001136
1980.01,0.0094758,4.6417,9.0583,0.0012869,0.0001053
1980.04,0.0090309,5.9376,8.933,0.0012447,0.0001497
1980.12,0.009569,4.5408,9.0172,0.0012316,8.62E-05
1980.21,0.0090035,4.5434,9.0315,0.0012275,0.0001021
1980.29,0.0096779,5.0048,9.0362,0.0012402,0.0001195
1980.37,0.0089322,4.7757,9.0838,0.0012407,9.31E-05
1980.46,0.0097211,4.8053,9.0674,0.0012718,0.0001864
1980.54,0.009554,4.9865,9.1964,0.0013237,0.0001438
1980.62,0.0102415,4.4214,9.2749,0.0014246,0.0001213
1980.66,0.0104882,4.7403,9.221,0.0013263,0.0001178
1980.71,0.0105344,5.0956,9.1903,0.0013439,0.0001296
1980.75,0.0117255,4.6801,9.2234,0.0013784,0.0001161
1980.79,0.0119831,4.6298,9.2185,0.0014395,0.0001218
1980.83,0.0110578,4.617,9.1559,0.0013532,9.85E-05
1980.87,0.0111163,4.5933,9.1658,0.0014229,0.0001192
1980.91,0.0114902,4.8678,9.2024,0.001448,0.0001103
1980.96,0.0110976,4.7124,9.1956,0.0014473,0.0001068
1981,0.0115683,4.8019,9.1802,0.0014085,0.0001196
1981.04,0.0111274,4.8065,9.2346,0.0014594,0.0001088
1981.08,NA,4.8896,9.0929,0.0013836,0.0001238
1981.12,0.0099969,5.1692,9.0716,0.001372,0.0001224
1981.17,0.0090467,4.642,9.1377,0.0013446,9.83E-05
1981.22,0.0095834,4.7325,9.0842,0.0013293,0.0001029
1981.27,0.0090846,4.3659,9.2212,0.0013379,7.19E-05
1981.32,0.0104679,4.2028,9.2303,0.0013358,7.05E-05
1981.37,0.011297,4.354,9.2286,0.0013138,6.88E-05
1981.42,0.0125823,4.1037,9.2828,0.0013896,7.07E-05
1981.47,0.0111567,4.2649,9.3326,0.001352,7.59E-05
1981.52,0.0112055,4.222,9.3533,0.0014347,8.18E-05
1981.57,0.0109361,4.0261,9.3796,0.0015297,7.60E-05
1981.62,0.0116714,4.2058,9.3862,0.0015154,8.55E-05
1981.69,0.0123043,4.1469,9.3132,0.0014503,8.06E-05
1981.76,0.012722,4.2406,9.2914,0.0014596,8.33E-05
1981.83,0.0114833,4.3424,9.2475,0.001418,7.50E-05
1981.9,0.0106684,4.2514,9.2208,0.0014633,8.56E-05
1981.97,0.0100865,4.7492,9.108,0.0013433,8.13E-05
1982.04,0.010459,6.2385,9.0332,0.001283,0.0001434
1982.09,0.009376,4.6723,9.0841,0.0012637,7.20E-05
1982.15,0.0094279,4.4921,9.0919,0.0012184,7.53E-05
1982.2,0.0092353,4.6441,9.1487,0.0012445,6.97E-05
1982.25,0.0093461,4.5597,9.2052,0.001267,7.82E-05
1982.31,0.0098329,4.3205,9.2963,0.0013295,7.57E-05
1982.36,0.0094488,4.2522,9.2976,0.0013399,7.76E-05
1982.41,0.0100515,4.3588,9.2989,0.001402,7.53E-05
1982.46,0.0099142,4.4185,9.2843,0.00142,8.43E-05
1982.52,0.0100019,4.4953,9.2953,0.0013736,6.87E-05
1982.57,0.0101206,4.1608,9.2694,0.00139,7.11E-05
1982.62,0.0108861,4.1724,9.3267,0.0014288,7.95E-05
1982.68,0.0112825,4.2864,9.2948,0.0014195,8.04E-05
1982.75,0.012232,4.7034,9.1319,0.0013305,8.04E-05
1982.81,0.0115991,4.5909,9.2002,0.0013829,7.83E-05
1982.87,0.0107034,4.7809,9.1245,0.0013243,7.60E-05
1982.94,0.0094944,4.7507,9.0572,0.0012472,7.67E-05
1983,0.009443,4.622,9.0771,0.0012817,7.66E-05
1983.06,0.0090436,4.7262,9.0287,0.0012442,7.42E-05
1983.12,0.0100983,4.7439,9.0196,0.0012493,7.04E-05
1983.23,0.0099226,4.449,9.242,0.0013498,7.59E-05
1983.33,0.0100807,4.4609,9.2904,0.0013581,7.17E-05
1983.43,0.0088244,4.296,9.3338,0.0013551,7.53E-05
1983.54,0.0085481,4.1352,9.3873,0.0014537,7.10E-05
1983.6,0.0095512,4.3037,9.3736,0.0014375,7.70E-05
1983.66,0.0106885,4.2123,9.3817,0.0014853,7.84E-05
1983.73,0.0107789,4.3447,9.3157,0.0014306,7.33E-05
1983.79,0.0112326,4.6453,9.2324,0.0013547,6.92E-05
1983.85,0.0113882,4.8452,9.2177,0.0012982,7.55E-05
1983.91,0.0114388,4.843,9.1271,0.0012177,6.94E-05
1983.98,0.0107238,4.8645,9.1362,0.0012877,7.33E-05
1984.04,0.0097953,4.713,9.0721,0.001285,7.11E-05
1984.12,0.0097253,4.8154,9.1065,0.001294,6.95E-05
1984.21,0.0090331,4.8236,9.0862,0.0012987,7.57E-05
1984.29,0.0089164,4.7951,9.1489,0.0013478,7.60E-05
1984.37,0.00935,4.7062,9.1985,0.0013368,7.47E-05
1984.46,0.0104601,4.7574,9.2691,0.001367,7.51E-05
1984.54,0.0096381,4.3428,9.3757,0.0014018,7.08E-05
1984.58,0.0100228,4.4867,9.3379,0.0013411,6.63E-05
1984.62,0.0096049,4.5624,9.292,0.0013479,7.10E-05
1984.66,0.0097717,4.6864,9.3237,0.0013011,7.04E-05
1984.71,0.0096481,6.3986,9.3022,0.0013154,6.86E-05
1984.75,0.0095472,4.9843,9.2064,0.0012774,7.25E-05
1984.79,0.0098331,5.2165,9.1281,0.0012303,7.32E-05
1984.83,0.0098514,5.6948,9.2211,0.0012814,8.33E-05
1984.87,0.0099519,6.2753,9.1668,0.0012576,7.74E-05
1984.92,0.0101527,5.2157,9.1238,0.0012619,7.74E-05
1984.96,0.0101711,5.1366,9.1532,0.0013097,7.68E-05
1985,0.0096874,5.126,9.1831,0.0013324,8.52E-05
1985.04,0.0093032,5.164,9.0928,0.0012513,7.24E-05
1985.1,0.0094519,5.1257,9.143,0.0012889,7.99E-05
1985.15,0.0095382,4.8762,9.1576,0.0013323,6.80E-05
1985.21,0.0093673,5.2379,9.1548,0.0012997,7.44E-05
1985.26,0.0099641,5.0399,9.2422,0.0013359,7.21E-05
1985.32,0.0102928,6.3134,9.297,0.0013712,7.85E-05
1985.37,0.010736,5.7813,9.1841,0.0012801,8.20E-05
1985.43,0.0101153,5.4598,9.3093,0.0013361,7.64E-05
1985.48,0.0100092,4.6019,9.3554,0.0013912,7.73E-05
1985.54,0.0099025,4.5629,9.3814,0.0013707,7.58E-05
1985.61,0.0096937,4.4749,9.3636,0.0013564,7.58E-05
1985.68,0.0101478,4.4155,9.3729,0.0013914,7.71E-05
1985.75,0.0104462,4.4077,9.3236,0.0013456,7.70E-05
1985.83,0.0103362,4.4391,9.285,0.0013333,8.50E-05
1985.9,0.0104888,4.57,9.182,0.0013045,7.31E-05
1985.97,0.0107927,4.5535,9.1695,0.0012855,7.51E-05
1986.04,0.0100682,5.8423,9.0344,0.0012867,8.12E-05
1986.1,0.0093157,4.4568,9.0894,0.001312,7.77E-05
1986.16,0.0092187,4.4747,9.1316,0.0013606,8.24E-05
1986.22,0.0088337,4.464,9.0877,0.0013196,8.07E-05
1986.27,0.0086946,4.4292,9.0692,0.0013038,8.26E-05
1986.33,0.0091234,4.2894,9.0526,0.0013125,7.38E-05
1986.39,0.0088406,4.1478,9.1464,0.0013328,7.27E-05
1986.45,0.0089314,3.9399,9.1476,0.0013484,7.16E-05
1986.51,0.0096887,3.8546,9.2436,0.0013515,6.80E-05
1986.56,0.0103518,3.8412,9.2476,0.0013598,7.48E-05
1986.62,0.009631,3.7516,9.2616,0.001361,7.59E-05
1986.67,0.0100551,3.8434,9.2023,0.0013093,7.73E-05
1986.73,0.0096217,3.9716,9.1929,0.0013026,7.85E-05
1986.78,0.0097284,3.9543,9.2039,0.0013218,8.00E-05
1986.83,0.0102356,4.7819,9.0898,0.0012712,7.69E-05
1986.88,0.0100599,4.5005,9.1167,0.0012939,8.34E-05
1986.94,0.009747,4.615,9.0672,0.0012626,7.92E-05
1986.99,0.0096854,5.7827,9.0014,0.0012543,7.98E-05
1987.04,0.0082949,4.4828,8.9787,0.0012608,7.89E-05
1987.17,0.008507,4.4049,9.0315,0.0013016,8.26E-05
1987.29,0.0091826,4.4674,9.1193,0.0012825,8.36E-05
1987.41,0.0090909,4.1699,9.1029,0.001239,7.32E-05
1987.54,0.0079577,3.8313,9.2165,0.0013647,7.89E-05