Age,d13C,d18O,MgCa,SrCa,d18Osw,Extn
1937,-1.57,-4.63,3.655,8.991,-0.08,15
1938,-1.54,-4.43,3.642,9.023,0.02,16
1939,-1.56,-4.64,3.434,9.058,-0.3,14
1940,-1.55,-4.16,3.383,9.081,0.1,14
1941,-1.74,-4.07,3.392,9.06,0.25,14
1942,-1.64,-4.45,3.428,9.007,0.04,15
1943,-1.9,-4.9,3.351,9.031,-0.48,15
1944,-1.73,-4.57,3.289,9.04,-0.17,16
1945,-1.82,-5.09,3.319,9.024,-0.65,15
1946,-1.75,-4.83,3.355,9.076,-0.55,17
1947,-2.24,-4.65,3.533,9.053,-0.3,17
1948,-1.87,-4.84,3.535,9.054,-0.5,16
1949,-1.91,-4.53,3.43,9.089,-0.29,16
1950,-1.77,-4.68,3.572,9.115,-0.53,15
1951,-1.44,-4.71,3.587,9.081,-0.45,15
1952,-1.67,-4.76,3.765,9.047,-0.39,15
1953,-2.05,-4.85,3.74,9.084,-0.61,16
1954,-1.82,-4.75,3.554,9.062,-0.43,15
1955,-1.99,-4.6,3.622,9.065,-0.29,15
1956,-1.92,-4.91,3.672,9.004,-0.41,15
1957,-2.04,-4.82,3.628,8.998,-0.29,15
1958,-1.74,-4.85,3.611,8.991,-0.3,16
1959,-1.47,-4.7,3.371,9.062,-0.38,14
1960,-1.98,-4.71,3.43,9.057,-0.37,14
1961,-1.96,-4.6,3.433,9.055,-0.25,16
1962,-2.28,-4.9,3.55,9.025,-0.46,17
1963,-1.88,-4.68,3.287,9.08,-0.42,15
1964,-2.07,-4.9,3.386,9.087,-0.66,14
1965,-2.05,-4.44,3.403,9.063,-0.13,17
1966,-1.69,-4.58,3.351,9.076,-0.31,15
1967,-1.83,-4.43,3.366,9.062,-0.11,14
1968,-1.91,-4.63,3.585,9.029,-0.21,16
1969,-1.77,-4.56,3.417,9.016,-0.09,15
1970,-1.85,-4.66,3.605,9.003,-0.15,15
1971,-2.45,-4.69,3.671,9.063,-0.37,16
1972,-2.26,-4.7,3.628,9.071,-0.4,16
1973,-2.17,-5.02,3.543,9.027,-0.59,16
1974,-2.42,-4.88,3.497,9.061,-0.56,15
1975,-2.45,-4.78,3.601,9.04,-0.39,16
1976,-2.39,-4.75,3.531,9.053,-0.4,17
1977,-2.56,-4.84,3.521,9.065,-0.53,17
1978,-2.27,-4.67,3.636,9.014,-0.2,17
1979,-2.26,-4.63,3.452,9.105,-0.44,16
1980,-2.02,-4.71,3.515,9.043,-0.33,16
1981,-2.01,-4.87,3.494,9.076,-0.59,16
1982,-2,-4.68,3.481,9.057,-0.34,15
1983,-2.27,-4.66,3.69,9.075,-0.38,16
1984,-2.27,-4.56,3.764,9.078,-0.29,17
1985,-2.31,-4.63,3.833,8.97,-0.02,17
1986,-2.39,-4.8,3.717,9.014,-0.33,17
1987,-2.58,-4.93,3.791,8.972,-0.33,18
1988,-2.99,-4.98,3.771,8.957,-0.33,17
1989,-2.93,-4.83,3.769,8.956,-0.18,17
1990,-2.69,-4.92,3.672,9.023,-0.48,17
1991,-2.28,-4.91,3.609,9.027,-0.48,17
1992,-2.21,-4.72,3.462,9.038,-0.32,15
1993,-2.53,-4.75,3.456,8.981,-0.18,15
1994,-2.56,-4.89,3.487,9.015,-0.42,15
1995,-3.03,-4.89,3.573,9.044,-0.52,18
1996,-3.16,-4.98,3.857,8.937,-0.27,17
1997,-2.85,-4.88,3.941,9.012,-0.41,17
1998,-3.09,-4.89,3.991,8.947,-0.21,17
1999,-2.92,-4.88,3.864,8.985,-0.31,17
2000,-3.16,-5.04,3.815,8.997,-0.51,17
2001,-2.65,-4.97,3.689,8.955,-0.31,17
2002,-2.89,-4.62,3.77,8.971,-0.02,18
2003,-2.9,-4.87,3.772,8.94,-0.17,17
2004,-3,-4.81,3.738,8.963,-0.18,17
2005,-3.09,-5.05,3.735,9.024,-0.61,18
2006,-3.44,-4.87,3.781,9.017,-0.41,18
2007,-3.57,-4.82,3.823,9.033,-0.41,17
2008,-3.38,-5.13,3.799,8.996,-0.6,16
2009,-3.12,-5.23,3.885,8.977,-0.64,16