Age,SrCa,Dist
1995.1,8.702,66.5
1995.11,8.741,66.25
1995.15,8.739,65.5
1995.26,8.749,63.5
1995.32,8.793,62.5
1995.37,8.856,61.5
1995.43,8.903,60.5
1995.46,9.016,60
1995.48,9.047,59.5
1995.54,9.062,58.5
1995.58,9.107,57.75
1995.59,9.111,57.5
1995.63,9.059,57.25
1995.66,9.033,57
1995.72,8.944,56.5
1995.78,8.863,56
1995.84,8.836,55.5
1995.91,8.824,55
1995.97,8.756,54.5
1996.06,8.71,53.75
1996.09,8.703,53.5
1996.1,8.731,53.25
1996.13,8.75,52.75
1996.14,8.783,52.5
1996.16,8.756,52
1996.18,8.716,51.5
1996.22,8.709,50.5
1996.23,8.809,50.25
1996.25,8.796,50
1996.27,8.801,49.5
1996.28,8.801,49.25
1996.33,8.794,48
1996.36,8.789,47.5
1996.38,8.76,47
1996.4,8.784,46.5
1996.44,8.852,45.5
1996.5,8.903,44.25
1996.53,8.959,43.5
1996.57,8.987,42.5
1996.61,9.019,41.75
1996.62,9.003,41.5
1996.63,9.043,41.25
1996.69,8.987,40.5
1996.74,9.002,40
1996.78,8.9,39.5
1996.87,8.893,38.5
1996.91,8.86,38
1996.95,8.811,37.5
1997.04,8.771,36.5
1997.1,8.75,35.75
1997.13,8.693,35.5
1997.17,8.732,34.5
1997.21,8.743,33.5
1997.25,8.735,32.5
1997.29,8.763,31.5
1997.31,8.794,31
1997.33,8.843,30.5
1997.37,8.874,29.5
1997.41,8.898,28.5
1997.46,8.906,27.5
1997.48,8.962,27
1997.5,9.002,26.5
1997.53,9.01,25.75
1997.54,9.069,25.5
1997.55,9.082,25.25
1997.6,9.039,24.5
1997.66,8.981,23.5
1997.72,8.89,22.5
1997.78,8.82,21.5
1997.85,8.765,20.5
1997.88,8.808,20
1997.91,8.83,19.5
1997.94,8.791,19
1997.97,8.718,18.5
1998.04,8.704,17.5
1998.08,8.634,16.75
1998.1,8.68,16.5
1998.12,8.685,16.25
1998.17,8.722,15.5
1998.23,8.765,14.5
1998.3,8.764,13.5
1998.37,8.768,12.5
1998.38,8.806,12.25
1998.42,8.845,11.75
1998.45,8.89,11.25
1998.48,8.886,10.75
1998.52,8.974,10.25
1998.55,8.956,9.75
1998.58,8.987,9.25
1998.61,8.977,8.75
1998.64,8.934,8.25
1998.66,8.931,7.75
1998.69,8.898,7.25
1998.72,8.886,6.75
1998.74,8.896,6.25
1998.77,8.807,5.75
1998.8,8.816,5.25
1998.82,8.794,4.75
1998.85,8.75,4.25
1998.88,8.789,3.75
1998.93,8.753,2.75
1998.96,8.729,2.25
1998.98,8.685,1.75
1999.01,8.717,1.25
1999.04,8.707,0.75
1999.06,8.689,0.25