Age,d13C,d18O,Lumin,SrCa,Density,Distance
1973.625,-1.36,-4.63,0.772555,9.09051,1.30692,244
1973.708333,-1.15,-4.99667,0.775099,9.05775,1.36305,242.667
1973.791667,-1.22333,-4.90333,0.770835,8.97532,1.42312,241.333
1973.875,-1.14,-4.83,0.753191,8.96441,1.47904,240
1973.958333,-1.01,-5.16,0.744484,8.96643,1.53973,238.667
1974.041667,-0.896667,-5.29333,0.728736,8.95496,1.52968,237.333
1974.125,-0.96,-5.43,0.763111,8.92215,1.43441,236
1974.208333,-1.11,-5.26,0.78018,8.95078,1.38276,235.167
1974.291667,-1.18,-5.35,0.745716,8.94388,1.34924,234.333
1974.375,-1.26,-5.21,0.711991,8.99137,1.3538,233.5
1974.458333,-1.3,-5.07,0.678624,9.07479,1.3512,232.667
1974.541667,-1.29,-4.87,0.679417,9.13534,1.37165,231.833
1974.625,-1.81,-4.7,0.692187,9.14188,1.37015,231
1974.708333,-1.64,-4.84333,0.701909,9.08518,1.385,229.833
1974.791667,-1.29333,-4.97,0.709183,9.0466,1.41273,228.667
1974.875,-1.09,-5.02,0.704713,9.00673,1.42795,227.5
1974.958333,-1.55,-5.09,0.698331,8.95332,1.40434,226.333
1975.041667,-1.53667,-5.11667,0.685703,8.91892,1.37362,225.167
1975.125,-1.55,-5.34,0.723783,8.87616,1.37167,224
1975.208333,-1.43667,-5.255,0.752171,8.96991,1.38043,222.833
1975.291667,-1.36,-5.04333,0.812497,8.96531,1.37222,221.667
1975.375,-1.605,-4.925,0.778331,8.98579,1.33616,220.5
1975.458333,-1.83667,-4.9,0.742489,8.96185,1.28831,219.333
1975.541667,-1.82833,-4.82667,0.729212,9.03081,1.28887,218.167
1975.625,-1.43,-4.69,0.704746,9.14587,1.30684,217
1975.708333,-1.49,-4.705,0.696308,9.09747,1.38591,215.667
1975.791667,-1.25,-4.88667,0.681061,9.07036,1.44004,214.333
1975.875,-1.09,-4.835,0.641471,9.04625,1.47065,213
1975.958333,-1.25,-4.98333,0.634173,8.95247,1.43498,211.667
1976.041667,-1.29833,-4.97,0.645995,8.9511,1.38212,210.333
1976.125,-1.48,-5.23,0.657583,8.93272,1.37135,209
1976.208333,-1.67167,-5.22167,0.673878,8.99082,1.37802,207.5
1976.291667,-1.53667,-5.13333,0.652956,8.97085,1.36441,206
1976.375,-1.57,-5.015,0.672473,9.01741,1.34137,204.5
1976.458333,-1.645,-4.915,0.681636,9.1223,1.34131,203
1976.541667,-1.5325,-4.8525,0.688545,9.14883,1.34114,201.5
1976.625,-1.42,-4.79,0.703266,9.18407,1.3723,200
1976.708333,-1.295,-4.87333,0.691935,9.13373,1.37997,198.833
1976.791667,-1.28333,-4.97,0.680944,9.05651,1.36715,197.667
1976.875,-1.235,-4.99,0.687959,8.98259,1.37959,196.5
1976.958333,-1.26333,-5.01,0.681481,8.93357,1.38763,195.333
1977.041667,-1.415,-5.13167,0.676291,8.92827,1.39039,194.167
1977.125,-1.34,-5.34,0.659339,8.91116,1.34356,193
1977.208333,-1.37,-5.28,0.648079,8.93189,1.29806,191.833
1977.291667,-1.57,-5.17,0.632229,8.95971,1.27894,190.667
1977.375,-1.45,-5.08,0.646269,8.97523,1.28852,189.5
1977.458333,-1.4,-4.99,0.692358,9.00568,1.34596,188.333
1977.541667,-1.48,-4.62,0.802547,9.10387,1.3586,187.167
1977.625,-1.5,-4.47,0.802817,9.15704,1.40145,186
1977.708333,-1.48,-4.78,0.703894,9.11988,1.4445,184.333
1977.791667,-1.31,-5.07,0.696564,9.0251,1.42949,182.667
1977.875,-1.145,-4.875,0.704581,8.97636,1.40718,181
1977.958333,-1.14,-4.93,0.764685,8.94067,1.41562,179.333
1978.041667,-1.49,-4.985,0.696058,8.93318,1.37094,177.667
1978.125,-1.56,-5.14,0.688362,8.91371,1.32632,176
1978.208333,-1.36,-4.76,0.687208,8.96611,1.34814,175.167
1978.291667,-1.4206,-4.8279,0.692318,8.96837,1.38303,174.333
1978.375,-1.3234,-4.755,0.708572,8.98617,1.40539,173.5
1978.458333,-1.3065,-4.5548,0.70873,9.02888,1.41896,172.667
1978.541667,-1.2265,-4.5493,0.698097,9.072,1.45125,171.833
1978.625,-1.3656,-4.448,0.683873,9.0796,1.4685,171
1978.708333,-0.9873,-4.5683,0.661618,9.04884,1.43927,169.667
1978.791667,-0.94861,-4.7091,0.658818,8.97017,1.43394,168.333
1978.875,-1.1511,-4.8312,0.657548,8.9523,1.44789,167
1978.958333,-1.1696,-4.9228,0.639805,8.96038,1.45561,165.667
1979.041667,-1.1393,-4.7563,0.646639,8.94562,1.39373,164.333
1979.125,-1.1204,-4.9809,0.620678,8.93384,1.39001,163
1979.208333,-1.0491,-4.8983,0.615046,8.9753,1.3893,162.333
1979.291667,-1.089,-4.9061,0.612792,9.01011,1.435,161.667
1979.375,-1.4348,-4.8968,0.618316,9.03829,1.44996,161
1979.458333,-1.6217,-4.5671,0.634248,9.06812,1.43446,160.333
1979.541667,-1.1951,-4.3225,0.648088,9.11064,1.44155,159.667
1979.625,-1.0985,-4.2891,0.666519,9.16584,1.45864,159
1979.708333,-1.2867,-4.3794,0.682253,9.12783,1.46013,157.667
1979.791667,-1.3929,-4.4333,0.673365,9.03351,1.45702,156.333
1979.875,-1.3925,-4.6578,0.659405,8.96322,1.43986,155
1979.958333,-0.84663,-4.8511,0.695914,8.9266,1.43938,153.667
1980.041667,-0.92477,-4.7743,0.750229,8.92336,1.38805,152.333
1980.125,-1.0899,-4.8928,0.72572,8.89368,1.35417,151
1980.208333,-1.0764,-4.87147,0.681606,8.91007,1.36757,149.5
1980.291667,-1.10663,-4.81473,0.678668,8.93069,1.3787,148
1980.375,-1.16845,-4.77845,0.688282,8.99009,1.40358,146.5
1980.458333,-1.1871,-4.77147,0.684528,9.02975,1.46011,145
1980.541667,-1.16673,-4.73587,0.673827,9.07698,1.48623,143.5
1980.625,-1.3319,-4.5272,0.658251,9.10466,1.47044,142
1980.708333,-1.24317,-4.61402,0.649609,9.0736,1.47743,141
1980.791667,-1.12063,-4.6056,0.657632,9.04877,1.47477,140
1980.875,-0.94801,-4.6791,0.644375,8.98995,1.45846,139
1980.958333,-0.827107,-4.70373,0.631909,8.94001,1.431,138
1981.041667,-0.918192,-4.94572,0.633633,8.92232,1.41972,137
1981.125,-0.72857,-5.0463,0.620347,8.91982,1.44352,136
1981.208333,-0.599777,-5.04293,0.62848,8.93114,1.48889,134.667
1981.291667,-1.01192,-5.03953,0.652901,8.93212,1.5025,133.333
1981.375,-1.22,-4.76,0.641891,8.97856,1.47386,132
1981.458333,-1.21333,-4.48333,0.662715,9.01402,1.52856,130.667
1981.541667,-1.05333,-4.48333,0.727945,9.04575,1.50234,129.333
1981.625,-0.86,-4.58,0.703825,9.09446,1.50073,128
1981.708333,-0.46,-4.56,0.713615,9.07082,1.50417,127.167
1981.791667,-0.483333,-4.82333,0.727925,9.0527,1.50299,126.333
1981.875,-0.53,-4.965,0.709693,9.02017,1.49825,125.5
1981.958333,-0.33,-5.02,0.677706,8.97297,1.4797,124.667
1982.041667,-0.58,-5.04,0.652278,8.92523,1.45169,123.833
1982.125,-1.13,-5.09,0.638926,8.90012,1.44477,123
1982.208333,-1.03667,-4.89667,0.669682,8.90885,1.44668,121.167
1982.291667,-1.10667,-4.75667,0.73357,8.91235,1.45723,119.333
1982.375,-1.34,-4.67,0.712899,8.94767,1.49353,117.5
1982.458333,-1.08667,-4.60333,0.686019,9.04961,1.48848,115.667
1982.541667,-0.966667,-4.48,0.685163,9.13529,1.47886,113.833
1982.625,-0.98,-4.3,0.643722,9.18092,1.48206,112
1982.708333,-0.91,-4.35,0.641212,9.14036,1.46759,111.167
1982.791667,-0.93,-4.52,0.645538,9.08144,1.45287,110.333
1982.875,-0.7,-4.6,0.632913,9.01207,1.46725,109.5
1982.958333,-0.35,-4.66,0.61984,8.94998,1.48405,108.667
1983.041667,-0.39,-4.7,0.620059,8.91328,1.48645,107.833
1983.125,-0.73,-4.93,0.622266,8.91125,1.49604,107
1983.208333,-0.915,-4.905,0.647182,8.92191,1.48586,105.5
1983.291667,-1.20667,-4.89,0.70031,8.95,1.50713,104
1983.375,-1.315,-4.79,0.666816,8.98036,1.52573,102.5
1983.458333,-1.17667,-4.51667,0.66805,9.00036,1.51453,101
1983.541667,-0.945,-4.49833,0.656691,9.08746,1.51786,99.5
1983.625,-0.84,-4.4,0.641693,9.13794,1.51298,98
1983.708333,-0.731667,-4.49167,0.623758,9.0613,1.50057,96.833
1983.791667,-0.683333,-4.69,0.618152,9.01034,1.50322,95.667
1983.875,-0.71,-4.675,0.623996,8.96858,1.48132,94.5
1983.958333,-0.703333,-4.64667,0.622225,8.9157,1.49534,93.333
1984.041667,-0.698333,-4.845,0.644207,8.90299,1.50872,92.167
1984.125,-1.14,-5.07,0.633596,8.89099,1.50979,91
1984.208333,-1.2,-4.95667,0.621285,8.91758,1.49712,90.167
1984.291667,-1.09,-4.83667,0.616384,8.95558,1.50617,89.333
1984.375,-0.81,-4.71,0.624264,9.00022,1.48691,88.5
1984.458333,-1.04333,-4.64333,0.64979,9.0535,1.4802,87.667
1984.541667,-1.15,-4.53333,0.664709,9.10601,1.47241,86.833
1984.625,-1.13,-4.38,0.655118,9.11883,1.46977,86
1984.708333,-0.956667,-4.39,0.639661,9.06465,1.47705,84.833
1984.791667,-0.933333,-4.54667,0.641799,9.02291,1.53936,83.667
1984.875,-0.895,-4.715,0.649468,8.95895,1.54273,82.5
1984.958333,-1.07,-5.01,0.661778,8.9313,1.54937,81.333
1985.041667,-1.34,-5.07667,0.673756,8.89596,1.55531,80.167
1985.125,-1.37,-5.12,0.678682,8.86502,1.55348,79
1985.208333,-1.42,-5.06,0.658489,8.87609,1.53504,78
1985.291667,-1.47,-5,0.656807,8.92272,1.48988,77
1985.375,-1.33,-4.86,0.668943,8.88998,1.48751,76
1985.458333,-1.19,-4.72,0.651536,8.94395,1.47057,75
1985.541667,-1.12,-4.555,0.642256,9.01812,1.46686,74
1985.625,-1.05,-4.39,0.668186,9.13828,1.46295,73
1985.708333,-1.015,-4.49,0.658637,9.08255,1.45261,71.667
1985.791667,-1.16,-4.58,0.653681,8.94544,1.42495,70.333
1985.875,-0.76,-4.83,0.68955,8.87731,1.44791,69
1985.958333,-0.98,-5.02,0.731786,8.88523,1.46099,67.667
1986.041667,-0.995,-5.03,0.684303,8.90049,1.48048,66.333
1986.125,-1.13,-5.09,0.629444,8.87679,1.48445,65
1986.208333,-1.07667,-5.01,0.618203,8.89421,1.45177,64.167
1986.291667,-0.916667,-4.87667,0.614705,8.91874,1.40365,63.333
1986.375,-0.65,-4.69,0.62112,8.95509,1.38848,62.5
1986.458333,-0.943333,-4.67667,0.627537,8.99145,1.36131,61.667
1986.541667,-1.06667,-4.66333,0.629377,9.01654,1.3562,60.833
1986.625,-1.02,-4.65,0.626325,9.03659,1.3624,60
1986.708333,-0.986667,-4.69167,0.616076,9.02446,1.38187,58.833
1986.791667,-0.946667,-4.74667,0.636736,9.00304,1.3836,57.667
1986.875,-0.93,-4.8,0.703031,8.93953,1.39063,56.5
1986.958333,-0.85,-4.84,0.719222,8.90029,1.40145,55.333
1987.041667,-0.731667,-4.89,0.707686,8.88343,1.42585,54.167
1987.125,-0.94,-5.04,0.726595,8.87957,1.44809,53
1987.208333,-1.135,-4.905,0.724309,8.89381,1.45507,51.5
1987.291667,-0.79,-4.99,0.678453,8.93178,1.46661,50
1987.375,-0.765,-4.73,0.664054,8.96289,1.43209,48.5
1987.458333,-1.21,-4.61,0.664533,8.98799,1.40205,47
1987.541667,-0.98,-4.5,0.735187,9.04861,1.3856,45.5
1987.625,-0.66,-4.36,0.813155,9.0982,1.39175,44
1987.708333,-1.02,-4.44667,0.774153,9.03664,1.42879,42.833
1987.791667,-0.793333,-4.51333,0.735452,8.95209,1.45355,41.667
1987.875,-0.79,-4.6,0.734614,8.90751,1.43805,40.5
1987.958333,-1.19333,-4.96333,0.749343,8.92119,1.45763,39.333
1988.041667,-1.52667,-5.07,0.787448,8.9101,1.49464,38.167
1988.125,-1.78,-5.12,0.786092,8.88038,1.53659,37
1988.208333,-1.61167,-4.96167,0.729642,8.9168,1.56463,36
1988.291667,-1.59,-5.00333,0.725931,8.94966,1.54486,35
1988.375,-1.62,-4.83,0.738169,8.97839,1.52971,34
1988.458333,-1.61667,-4.75,0.760729,9.00733,1.52222,33
1988.541667,-1.50333,-4.61333,0.719983,9.07016,1.58824,32
1988.625,-1.43,-4.52,0.660033,9.07801,1.62786,31
1988.708333,-1.125,-4.825,0.65077,9.03755,1.64488,29.5
1988.791667,-0.88,-4.94,0.725166,8.98871,1.60612,28
1988.875,-1.01,-4.915,0.722807,8.9225,1.58689,26.5
1988.958333,-1.06,-4.99,0.712995,8.89287,1.55983,25
1989.041667,-1.08,-5,0.688231,8.90356,1.57182,23.5
1989.125,-1.32,-5.03,0.646547,8.88138,1.57287,22
1989.208333,-1.445,-4.92167,0.620588,8.89778,1.58589,20.833
1989.291667,-1.32333,-4.86667,0.623978,8.91886,1.54408,19.667
1989.375,-1.285,-4.855,0.614895,8.97657,1.51352,18.5
1989.458333,-1.28333,-4.78,0.629987,9.03874,1.50142,17.333
1989.541667,-1.18167,-4.605,0.672193,9.06874,1.48803,16.167
1989.625,-1.04,-4.53,0.718936,9.09384,1.464,15
1989.708333,NA,NA,0.745487,9.08905,1.43594,14.167
1989.791667,NA,NA,0.786742,9.05653,1.43368,13.333
1989.875,NA,NA,0.803784,9.00809,1.40597,12.5
1989.958333,NA,NA,0.787954,8.94676,1.41195,11.667
1990.041667,NA,NA,0.798045,8.8862,1.41113,10.833
1990.125,NA,NA,0.816648,8.87017,1.41197,10
