Age,d18O,d13C,Lumin,SrCa,Density,Dist
1976.12,NA,NA,NA,9.01071,NA,272
1976.21,NA,NA,0.478059,9.03196,0.98357,271.333
1976.29,NA,NA,0.481736,9.05528,0.985022,270.667
1976.38,NA,NA,0.486778,9.08067,0.99997,270
1976.46,NA,NA,0.497925,9.1157,1.00911,269.333
1976.54,NA,NA,0.517891,9.13733,1.01472,268.667
1976.62,NA,NA,0.54206,9.14554,1.02035,268
1976.71,NA,NA,0.561081,9.11133,1.0307,266.833
1976.79,NA,NA,0.540451,9.0497,1.02264,265.667
1976.88,NA,NA,0.808688,8.99909,1.01949,264.5
1976.96,NA,NA,0.745101,8.96591,1.00189,263.333
1977.04,NA,NA,0.752534,8.94719,1.01776,262.167
1977.12,-5.235,-2.892,0.795244,8.92788,1.03571,261
1977.21,-4.939,-2.6335,0.773301,8.96226,1.03901,259.167
1977.29,-4.386,-2.751,0.717465,9.00011,1.00307,257.333
1977.38,-4.128,-2.81,0.733233,8.95225,0.984487,255.5
1977.46,-4.068,-2.699,0.829899,9.02855,0.988133,253.667
1977.54,-4.1635,-2.48,0.82116,9.14818,0.985467,251.833
1977.62,-4.066,-2.254,0.80019,9.19535,0.968341,250
1977.71,-4.41175,-1.77425,0.842017,9.14756,0.974664,248.333
1977.79,-4.522,-1.715,0.917452,9.07386,0.952007,246.667
1977.88,-4.72325,-2.051,0.925479,9.02603,0.96865,245
1977.96,-4.7085,-1.8025,0.869361,8.94563,1.04499,243.333
1978.04,-4.778,-1.76575,0.840629,8.9375,1.05349,241.667
1978.12,-4.99,-2.346,0.840026,8.92974,1.08002,240
1978.21,-4.76825,-2,0.788003,8.96545,1.07996,238
1978.29,-4.735,-2.04,0.709921,8.95078,1.07806,236
1978.38,-4.517,-2.479,0.736184,8.97279,1.03431,234
1978.46,-4.2965,-2.6195,0.741606,9.01419,0.951032,232
1978.54,-4.2945,-2.4335,0.851138,9.05946,0.949812,230
1978.62,-4.074,-2.357,0.861641,9.10726,0.934169,228
1978.71,-4.2095,-2.338,0.916228,9.03932,0.992364,226
1978.79,-4.23633,-1.95867,0.845353,9.01421,1.02314,224
1978.88,-4.442,-1.7615,0.81903,8.9622,1.07074,222
1978.96,-4.70333,-1.96167,0.816035,9.03014,1.06517,220
1979.04,-4.8145,-2.36233,0.776814,8.98609,1.05882,218
1979.12,-5.033,-2.197,0.737743,8.91664,1.06241,216
1979.21,-4.939,-2.65233,0.743226,8.9602,1.02807,215
1979.29,-4.866,-2.31433,0.773271,8.99547,1.02769,214
1979.38,-4.649,-2.6215,0.795403,9.0344,1.02151,213
1979.46,-4.36867,-2.874,0.771947,9.10619,1.00335,212
1979.54,-4.254,-2.83867,0.768143,9.1604,0.981665,211
1979.62,-4.148,-2.414,0.826432,9.16688,0.992428,210
1979.71,-4.29267,-2.15383,0.935728,9.11722,1.01726,208.833
1979.79,-4.439,-1.82333,0.901065,9.05019,1.05922,207.667
1979.88,-4.58,-1.9875,0.834981,9.00824,1.07695,206.5
1979.96,-4.86167,-1.95533,0.836174,8.97613,1.10093,205.333
1980.04,-4.7475,-1.86517,0.823973,8.91999,1.10765,204.167
1980.12,-4.965,-2.765,0.812564,8.89806,1.11059,203
1980.21,-4.64267,-2.63867,0.821688,8.9229,1.11859,201
1980.29,-4.506,-2.566,0.792031,8.98372,1.06826,199
1980.38,-4.245,-2.629,0.731148,9.00067,1.04342,197
1980.46,-4.18733,-2.669,0.719636,9.03776,0.997142,195
1980.54,-4.15367,-2.66333,0.814954,9.0809,1.0037,193
1980.62,-4.0965,-2.3985,0.836466,9.13836,1.04121,191
1980.71,-4.22425,-2.19767,0.831228,9.12535,1.04301,188.667
1980.79,-4.37333,-1.89317,0.771477,9.02683,1.07962,186.333
1980.88,-4.4605,-1.68675,0.797555,8.97009,1.09892,184
1980.96,-4.528,-1.55633,0.730039,8.99752,1.09541,181.667
1981.04,-4.67683,-2.0365,0.731399,8.99709,0.99335,179.333
1981.12,-5.04,-2.112,0.731834,8.94658,0.963158,177
1981.21,-4.9035,-1.96133,0.728128,8.98114,0.984508,176.167
1981.29,-5.014,-2.49267,0.764025,9.00867,0.998384,175.333
1981.38,-4.68075,-2.4365,0.845857,9.03898,1.00647,174.5
1981.46,-4.32967,-2.544,0.883497,9.05181,1.00623,173.667
1981.54,-4.19033,-2.64,0.869008,9.04973,1.0186,172.833
1981.62,-4.165,-2.381,0.913103,9.11106,1.02906,172
1981.71,-4.246,-2.059,0.932868,9.05836,1.06659,170
1981.79,-4.373,-1.564,0.849486,9.02019,1.07669,168
1981.88,-4.634,-1.7805,0.837863,8.97309,1.04989,166
1981.96,-4.777,-1.538,0.762605,8.93441,1.01635,164
1982.04,-4.784,-2.098,0.736886,8.9561,1.01377,162
1982.12,-5.063,-1.695,0.729461,8.93377,1.04274,160
1982.21,-4.96867,-1.933,0.755221,8.96026,1.02875,158.5
1982.29,-4.886,-2.227,0.762659,8.96909,1.04346,157
1982.38,-4.743,-2.632,0.775603,9.0052,1.02019,155.5
1982.46,-4.41867,-2.628,0.807081,9.06763,1.00576,154
1982.54,-4.20067,-2.78867,0.82448,9.16464,1.00075,152.5
1982.62,-3.906,-2.686,0.833735,9.18161,0.997589,151
1982.71,-4.17317,-2.306,0.849426,9.08359,1.00219,149.667
1982.79,-4.20567,-2.1,0.827644,9.02002,0.995553,148.333
1982.88,-4.4605,-1.805,0.806147,9.04026,0.994422,147
1982.96,-4.784,-1.64567,0.766484,8.9867,0.977007,145.667
1983.04,-4.71767,-1.47567,0.729478,8.96892,0.955262,144.333
1983.12,-4.864,-1.8,0.720718,8.92671,0.935167,143
1983.21,-4.801,-2.364,0.728807,8.94945,0.920978,141.333
1983.29,-4.815,-2.862,0.719268,8.94625,0.871216,139.667
1983.38,-4.763,-2.563,0.737983,8.98303,0.84079,138
1983.46,-4.395,-2.625,0.929529,9.01805,0.835339,136.333
1983.54,-4.215,-2.7175,1.01293,9.10455,0.87343,134.667
1983.62,-4.14,-2.608,0.856719,9.15382,0.907097,133
1983.71,-4.31717,-2.1585,0.798378,9.10496,0.914264,130.833
1983.79,-4.488,-1.652,0.779185,9.00742,0.93894,128.667
1983.88,-4.5395,-2.089,0.721486,8.96906,0.933465,126.5
1983.96,-4.64067,-1.5475,0.691194,9.00727,0.953677,124.333
1984.04,-5.07617,-2.06483,0.725773,9.01166,0.932237,122.167
1984.12,-5.27,-2.262,0.731601,8.89983,0.929781,120
1984.21,-5.04917,-2.3795,0.778722,8.92081,0.927776,119.167
1984.29,-4.62767,-2.757,0.815328,8.96651,0.934275,118.333
1984.38,-4.3745,-3.076,0.802312,8.99203,0.904744,117.5
1984.46,-4.25767,-3.244,0.781379,9.03884,0.894231,116.667
1984.54,-4.11283,-3.215,0.825684,9.13243,0.878359,115.833
1984.62,-3.912,-2.81,0.923737,9.17998,0.886844,115
1984.71,-4.116,-2.35133,0.810303,9.12031,0.933772,112.333
1984.79,-4.24767,-2.10667,0.803804,9.03389,0.936013,109.667
1984.88,-4.574,-1.886,0.725498,8.96181,0.944491,107
1984.96,-4.90467,-2.32267,0.756615,8.97165,0.95339,104.333
1985.04,-5.054,-2.117,0.751704,8.95779,0.933723,101.667
1985.12,-5.221,-2.589,0.766605,8.93665,0.883571,99
1985.21,-5.052,-2.681,0.834107,8.96115,0.914161,97.667
1985.29,-4.71,-3.307,0.823999,9.00384,0.937962,96.333
1985.38,-4.503,-3.171,0.77647,9.0239,0.959703,95
1985.46,-4.265,-2.986,0.77943,9.10645,0.968082,93.667
1985.54,-4.081,-3.14,0.793968,9.13356,0.961669,92.333
1985.62,-3.966,-3.15,0.807059,9.13807,0.96233,91
1985.71,-4.17833,-2.4275,0.783235,9.00628,0.965321,89.333
1985.79,-4.46167,-1.976,0.748986,8.92636,0.976946,87.667
1985.88,-4.5895,-1.243,0.716064,8.96368,0.987951,86
1985.96,-4.82,-2.31067,0.718334,8.94825,0.973211,84.333
1986.04,-4.81833,-2.19467,0.709409,8.92995,0.970218,82.667
1986.12,-4.88,-2.491,0.723644,8.89203,0.967733,81
1986.21,-4.7875,-2.6535,0.739012,8.97185,0.977343,79.5
1986.29,-4.70233,-2.69267,0.823526,8.99051,0.971015,78
1986.38,-4.536,-2.8745,0.867374,8.96065,0.966816,76.5
1986.46,-4.40267,-3.04533,0.920412,8.99501,0.970384,75
1986.54,-4.38267,-3.02733,0.814988,9.02718,1.00294,73.5
1986.62,-4.286,-3.014,0.84377,9.05001,1.01978,72
1986.71,-4.32367,-2.61817,0.877941,9.03106,1.03804,70.5
1986.79,-4.509,-2.04133,0.845487,8.96635,1.0456,69
1986.88,-4.57,-1.6545,0.789897,8.92534,1.05069,67.5
1986.96,-4.686,-1.42333,0.792948,8.9283,1.05699,66
1987.04,-4.83783,-1.85667,0.782893,8.9036,1.05713,64.5
1987.12,-4.941,-2.087,0.771839,8.88181,1.07251,63
1987.21,-4.766,-2.393,0.731328,8.94189,1.06172,61.333
1987.29,-4.699,-2.583,0.743756,8.9577,1.02979,59.667
1987.38,-4.448,-2.806,0.807438,8.95593,1.0038,58
1987.46,-4.287,-3.102,0.809505,8.97206,0.978118,56.333
1987.54,-4.156,-3.107,0.857295,9.04097,0.981109,54.667
1987.62,-4.124,-3.018,0.823795,9.1092,0.985907,53
1987.71,-4.129,-2.648,0.811455,9.06335,1.00173,51.833
1987.79,-4.27,-1.929,0.800117,9.0191,1.01868,50.667
1987.88,-4.522,-1.386,0.800727,8.9824,1.02038,49.5
1987.96,-4.578,-1.579,0.788879,8.93162,1.0304,48.333
1988.04,-4.661,-1.694,0.807055,8.89233,1.01647,47.167
1988.12,-4.839,-3.236,0.819385,8.8852,1.02119,46
1988.21,-4.759,-2.37633,0.797332,8.89419,1.02522,44
1988.29,-4.70233,-2.57567,0.742618,8.92169,1.00328,42
1988.38,-4.515,-2.559,0.758082,8.96315,0.972853,40
1988.46,-4.25933,-2.71233,0.798779,8.97709,0.953675,38
1988.54,-4.21733,-2.80233,0.893434,9.07786,0.927566,36
1988.62,-4.094,-3.044,0.932857,9.10472,0.932383,34
1988.71,-4.452,-2.11833,0.970614,9.06219,0.944181,33
1988.79,-4.63967,-1.69733,0.970086,8.9618,0.961761,32
1988.88,-4.953,-1.848,0.932725,8.94033,0.964541,31
1988.96,-4.90667,-1.86867,0.937422,8.95673,0.962608,30
1989.04,-4.938,-1.822,0.924639,8.95712,0.977338,29
1989.12,-5.094,-2.205,0.877953,8.93734,0.982402,28
1989.21,-5.043,-2.571,0.90394,8.96207,0.988988,26.333
1989.29,-4.868,-2.507,0.919944,8.95643,0.995338,24.667
1989.38,-4.717,-2.574,0.934853,8.96004,0.997126,23
1989.46,-4.433,-3.278,0.957389,8.97688,1.00037,21.333
1989.54,-4.405,-3.004,0.930192,9.01799,0.999477,19.667
1989.62,-4.234,-2.824,0.871129,9.1046,1.00644,18
1989.71,-4.3315,-2.566,0.866313,9.09429,1.00138,17
1989.79,-4.545,-2.064,0.881257,9.0956,0.97967,16
1989.88,-4.7535,-1.9135,0.87032,9.02363,0.970308,15
1989.96,-4.845,-1.967,0.88646,8.9669,0.94366,14
1990.04,-4.9225,-2.1575,0.927798,8.91369,0.936222,13
1990.12,-5.035,-2.007,0.928044,8.8931,0.912772,12